"path","kind","component","proposed_dest","reason","path_style","ambiguous","reads","writes","includes_images","functions_defined","git_status","size_bytes","moved_phase2"
"CV Extension/Results/wc_noise_s1_c3.rds","result","cv","results/cv/wz_replication/wc_noise_s1_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1709785,TRUE
"CV Extension/Results/wc_noise_s1_c4.rds","result","cv","results/cv/wz_replication/wc_noise_s1_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1591849,TRUE
"CV Extension/Results/wc_noise_s10_c1.rds","result","cv","results/cv/wz_replication/wc_noise_s10_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1715088,TRUE
"CV Extension/Results/wc_noise_s10_c2.rds","result","cv","results/cv/wz_replication/wc_noise_s10_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1710815,TRUE
"CV Extension/Results/wc_noise_s10_c3.rds","result","cv","results/cv/wz_replication/wc_noise_s10_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1710304,TRUE
"CV Extension/Results/wc_noise_s10_c4.rds","result","cv","results/cv/wz_replication/wc_noise_s10_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1596319,TRUE
"CV Extension/Results/wc_noise_s100_c1.rds","result","cv","results/cv/wz_replication/wc_noise_s100_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1712849,TRUE
"CV Extension/Results/wc_noise_s100_c2.rds","result","cv","results/cv/wz_replication/wc_noise_s100_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1713648,TRUE
"CV Extension/Results/wc_noise_s100_c3.rds","result","cv","results/cv/wz_replication/wc_noise_s100_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1718903,TRUE
"CV Extension/Results/wc_noise_s100_c4.rds","result","cv","results/cv/wz_replication/wc_noise_s100_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1602985,TRUE
"CV Extension/Results/wc_noise_s30_c1.rds","result","cv","results/cv/wz_replication/wc_noise_s30_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1714404,TRUE
"CV Extension/Results/wc_noise_s30_c2.rds","result","cv","results/cv/wz_replication/wc_noise_s30_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1711943,TRUE
"CV Extension/Results/wc_noise_s30_c3.rds","result","cv","results/cv/wz_replication/wc_noise_s30_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1715714,TRUE
"CV Extension/Results/wc_noise_s30_c4.rds","result","cv","results/cv/wz_replication/wc_noise_s30_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1602506,TRUE
"CV Extension/Results/wc_on_n1000_c1.rds","result","cv","results/cv/wz_replication/wc_on_n1000_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1712667,TRUE
"CV Extension/Results/wc_on_n1000_c2.rds","result","cv","results/cv/wz_replication/wc_on_n1000_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1719303,TRUE
"CV Extension/Results/wc_on_n1000_c3.rds","result","cv","results/cv/wz_replication/wc_on_n1000_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1418010,TRUE
"CV Extension/Results/wc_on_n1000_c4.rds","result","cv","results/cv/wz_replication/wc_on_n1000_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",840977,TRUE
"CV Extension/Results/wc_on_n10000_c1.rds","result","cv","results/cv/wz_replication/wc_on_n10000_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1719558,TRUE
"CV Extension/Results/wc_on_n10000_c2.rds","result","cv","results/cv/wz_replication/wc_on_n10000_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1710044,TRUE
"CV Extension/Results/wc_on_n10000_c3.rds","result","cv","results/cv/wz_replication/wc_on_n10000_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1713046,TRUE
"CV Extension/Results/wc_on_n10000_c4.rds","result","cv","results/cv/wz_replication/wc_on_n10000_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1638556,TRUE
"CV Extension/Results/wc_on_n20000_c1.rds","result","cv","results/cv/wz_replication/wc_on_n20000_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1718859,TRUE
"CV Extension/Results/wc_on_n20000_c2.rds","result","cv","results/cv/wz_replication/wc_on_n20000_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1715916,TRUE
"CV Extension/Results/wc_on_n20000_c3.rds","result","cv","results/cv/wz_replication/wc_on_n20000_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1714685,TRUE
"CV Extension/Results/wc_on_n20000_c4.rds","result","cv","results/cv/wz_replication/wc_on_n20000_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1663054,TRUE
"CV Extension/Results/wc_on_n2500_c1.rds","result","cv","results/cv/wz_replication/wc_on_n2500_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1715925,TRUE
"CV Extension/Results/wc_on_n2500_c2.rds","result","cv","results/cv/wz_replication/wc_on_n2500_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1717561,TRUE
"CV Extension/Results/wc_on_n2500_c3.rds","result","cv","results/cv/wz_replication/wc_on_n2500_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1694576,TRUE
"CV Extension/Results/wc_on_n2500_c4.rds","result","cv","results/cv/wz_replication/wc_on_n2500_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1351492,TRUE
"CV Extension/Results/wc_on_n5000_c1.rds","result","cv","results/cv/wz_replication/wc_on_n5000_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1717836,TRUE
"CV Extension/Results/wc_on_n5000_c2.rds","result","cv","results/cv/wz_replication/wc_on_n5000_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1712001,TRUE
"CV Extension/Results/wc_on_n5000_c3.rds","result","cv","results/cv/wz_replication/wc_on_n5000_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1709768,TRUE
"CV Extension/Results/wc_on_n5000_c4.rds","result","cv","results/cv/wz_replication/wc_on_n5000_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1591726,TRUE
"CV Extension/Results/wc_overlap_c1.rds","result","cv","results/cv/wz_replication/wc_overlap_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1717352,TRUE
"CV Extension/Results/wc_overlap_c2.rds","result","cv","results/cv/wz_replication/wc_overlap_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1711130,TRUE
"CV Extension/Results/wc_overlap_c3.rds","result","cv","results/cv/wz_replication/wc_overlap_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1708622,TRUE
"CV Extension/Results/wc_overlap_c4.rds","result","cv","results/cv/wz_replication/wc_overlap_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",1589840,TRUE
"CV Extension/Results/wc_path_v1.png","output","cv","output/cv/wz_replication/figures/wc_path_v1.png","figure written by plot_wt_att.R / earlier path script; regenerable","none",FALSE,"","","","","tracked, clean",21193,TRUE
"CV Extension/Results/wc_path_v1.rds","result","cv","archive/cv_extension/results/wc_path_v1.rds","3 KB rds, not referenced by any script; probably the ATE path batch of an earlier run_wc_path.R","none",TRUE,"","","","","tracked, clean",2968,TRUE
"CV Extension/Results/wc_sbw_v1.csv.gz","result","cv","results/cv/wz_replication/wc_sbw_v1.csv.gz","sbw replication batch (Table 4 rows); producer script (run_wc_sbw?) is not in the repo","none",FALSE,"","","","","tracked, clean",1421,TRUE
"CV Extension/Results/wc_sbw_v1_meta.rds","result","cv","results/cv/wz_replication/wc_sbw_v1_meta.rds","sbw replication batch (Table 4 rows); producer script (run_wc_sbw?) is not in the repo","none",FALSE,"","","","","tracked, clean",286,TRUE
"CV Extension/Results/wc_sbw_v2.csv.gz","result","cv","results/cv/wz_replication/wc_sbw_v2.csv.gz","sbw replication batch (Table 4 rows); producer script (run_wc_sbw?) is not in the repo","none",FALSE,"","","","","tracked, clean",127914,TRUE
"CV Extension/Results/wc_sbw_v2_meta.rds","result","cv","results/cv/wz_replication/wc_sbw_v2_meta.rds","sbw replication batch (Table 4 rows); producer script (run_wc_sbw?) is not in the repo","none",FALSE,"","","","","tracked, clean",285,TRUE
"CV Extension/Results/wc_tuner_n1000_c1.rds","result","cv","results/cv/wz_replication/wc_tuner_n1000_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",193974,TRUE
"CV Extension/Results/wc_tuner_n1000_c2.rds","result","cv","results/cv/wz_replication/wc_tuner_n1000_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",204671,TRUE
"CV Extension/Results/wc_tuner_n1000_c3.rds","result","cv","results/cv/wz_replication/wc_tuner_n1000_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",193839,TRUE
"CV Extension/Results/wc_tuner_n1000_c4.rds","result","cv","results/cv/wz_replication/wc_tuner_n1000_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",150321,TRUE
"CV Extension/Results/wc_tuner_n20000_c1.rds","result","cv","results/cv/wz_replication/wc_tuner_n20000_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",191681,TRUE
"CV Extension/Results/wc_tuner_n20000_c2.rds","result","cv","results/cv/wz_replication/wc_tuner_n20000_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",205873,TRUE
"CV Extension/Results/wc_tuner_n20000_c3.rds","result","cv","results/cv/wz_replication/wc_tuner_n20000_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",205245,TRUE
"CV Extension/Results/wc_tuner_n20000_c4.rds","result","cv","results/cv/wz_replication/wc_tuner_n20000_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",203070,TRUE
"CV Extension/Results/wc_tuner_n5000_c1.rds","result","cv","results/cv/wz_replication/wc_tuner_n5000_c1.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",193071,TRUE
"CV Extension/Results/wc_tuner_n5000_c2.rds","result","cv","results/cv/wz_replication/wc_tuner_n5000_c2.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",205740,TRUE
"CV Extension/Results/wc_tuner_n5000_c3.rds","result","cv","results/cv/wz_replication/wc_tuner_n5000_c3.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",203810,TRUE
"CV Extension/Results/wc_tuner_n5000_c4.rds","result","cv","results/cv/wz_replication/wc_tuner_n5000_c4.rds","per-cell batch (list with cell, seeds, lam, res) written by run_wc_*.R; read by wc_grids.R::read_grid","none",FALSE,"","","","","tracked, clean",197649,TRUE
"CV Extension/run_wc.R","dead","cv","archive/cv_extension/run_wc.R","9 bytes of whitespace","none",FALSE,"","","","","tracked, clean",9,TRUE
"CV Extension/run_wc_basis.R","run","cv","runs/cv/wz_replication/run_wc_basis.R","parallel batch driver (makeCluster), absolute dir, sources sbw_wc.R; writes Results/*.rds (script says results/, folder is Results/: case mismatch)","absolute",FALSE,"sbw_wc.R","saveRDS(list(cell = cell, master_seed = master_s…)","","basis; one_rep","tracked, clean",5513,TRUE
"CV Extension/run_wc_noise.R","run","cv","runs/cv/wz_replication/run_wc_noise.R","parallel batch driver (makeCluster), absolute dir, sources sbw_wc.R; writes Results/*.rds (script says results/, folder is Results/: case mismatch)","absolute",FALSE,"sbw_wc.R","saveRDS(list(cell = cell, master_seed = master_s…)","","one_rep","untracked",5038,TRUE
